avg_evoked,order
2.587811774194634e-11,-4.0
2.5924169465713208e-11,-4.0
2.5933991048922206e-11,-3.99
2.5916573323214367e-11,-3.99
2.5900381161201154e-11,-3.98
2.5910684163866714e-11,-3.98
2.5952894224690296e-11,-3.98
2.6012838549755905e-11,-3.97
2.6070950364162697e-11,-3.97
2.611550955594884e-11,-3.96
2.6150432768445654e-11,-3.96
2.6188574550708695e-11,-3.96
2.623560598244693e-11,-3.95
2.6285725679283037e-11,-3.95
2.6330098402686892e-11,-3.95
2.63701141006596e-11,-3.94
2.642003685328998e-11,-3.94
2.649240143921341e-11,-3.93
2.6583635859000892e-11,-3.93
2.6672243198822924e-11,-3.93
2.6732927456275815e-11,-3.92
2.6762770457714262e-11,-3.92
2.6785470685222856e-11,-3.91
2.683026095823159e-11,-3.91
2.6911575814676464e-11,-3.91
2.7021677677642096e-11,-3.9
2.7135091261666605e-11,-3.9
2.7225101910369758e-11,-3.89
2.728376010526722e-11,-3.89
2.7327947724408383e-11,-3.89
2.73862947218509e-11,-3.88
2.7479658133158153e-11,-3.88
2.7607094627895624e-11,-3.88
2.774667995920336e-11,-3.87
2.7872600618035302e-11,-3.87
2.797326944610096e-11,-3.86
2.8056480786479428e-11,-3.86
2.8138184037579776e-11,-3.86
2.8229434854334954e-11,-3.85
2.833289356608175e-11,-3.85
2.8444475670042106e-11,-3.84
2.855657139448386e-11,-3.84
2.8663147653928863e-11,-3.84
2.876449059618974e-11,-3.83
2.8866578638115476e-11,-3.83
2.8975693505617744e-11,-3.82
2.9090452344309428e-11,-3.82
2.9198324668488353e-11,-3.82
2.928488609883116e-11,-3.81
2.93454712972616e-11,-3.81
2.938906927224851e-11,-3.8
2.9432418660776335e-11,-3.8
2.9486007707340006e-11,-3.8
2.9546439690670586e-11,-3.79
2.960747259133992e-11,-3.79
2.966346991240387e-11,-3.79
2.969995443293582e-11,-3.78
2.970061632234402e-11,-3.78
2.965983317996114e-11,-3.77
2.9592393532665686e-11,-3.77
2.952996980334638e-11,-3.77
2.949770285192481e-11,-3.76
2.9500391959561494e-11,-3.76
2.9525687866075497e-11,-3.75
2.9550731294969194e-11,-3.75
2.954860564981301e-11,-3.75
2.950323723917718e-11,-3.74
2.9424902617224156e-11,-3.74
2.9344710728874246e-11,-3.73
2.930042167910006e-11,-3.73
2.9320030532159176e-11,-3.73
2.940353499980156e-11,-3.72
2.951812203440476e-11,-3.72
2.960868502071578e-11,-3.71
2.9622996952333525e-11,-3.71
2.955153736635964e-11,-3.71
