avg_evoked,order
6.099712740117112e-11,-4.0
6.07926835394283e-11,-4.0
6.050634437028009e-11,-3.99
6.016538707444141e-11,-3.99
5.98090632235235e-11,-3.98
5.947581754610087e-11,-3.98
5.919391179373308e-11,-3.98
5.897301232631967e-11,-3.97
5.880162586304026e-11,-3.97
5.865188888021416e-11,-3.96
5.848829598298196e-11,-3.96
5.827890397970433e-11,-3.96
5.800710989457409e-11,-3.95
5.7677308025691046e-11,-3.95
5.7311947016783217e-11,-3.95
5.6944037279780094e-11,-3.94
5.660646245725405e-11,-3.94
5.632148545843866e-11,-3.93
5.609574915280478e-11,-3.93
5.5918707607539166e-11,-3.93
5.5762480201040464e-11,-3.92
5.558852458285322e-11,-3.92
5.5360584716598944e-11,-3.91
5.505608240441573e-11,-3.91
5.467456881849401e-11,-3.91
5.4242648489198926e-11,-3.9
5.381166963807649e-11,-3.9
5.3441604047816985e-11,-3.89
5.317640739348211e-11,-3.89
5.3026375975950724e-11,-3.89
5.2964568358593366e-11,-3.88
5.293671121071033e-11,-3.88
5.287833627141469e-11,-3.88
5.2734794829647953e-11,-3.87
5.2477054168876737e-11,-3.87
5.211043297029786e-11,-3.86
5.167525834305618e-11,-3.86
5.1235684171301594e-11,-3.86
5.086230867813513e-11,-3.85
5.061262687906104e-11,-3.85
5.051223808980587e-11,-3.84
5.054492040310908e-11,-3.84
5.0658797366811775e-11,-3.84
5.078121967224717e-11,-3.83
5.083680911395002e-11,-3.83
5.076917392936758e-11,-3.82
5.055831388411814e-11,-3.82
5.022643077706544e-11,-3.82
4.983264559826139e-11,-3.81
4.9457476892232106e-11,-3.81
4.918041506203243e-11,-3.8
4.905793095475262e-11,-3.8
4.9107601674203714e-11,-3.8
4.9302181816392335e-11,-3.79
4.9574906310428384e-11,-3.79
4.983532691639374e-11,-3.79
4.9993081793020207e-11,-3.78
4.9984191856107513e-11,-3.78
4.979341863629958e-11,-3.77
4.9461407059488885e-11,-3.77
4.907323840744031e-11,-3.77
4.873730701361834e-11,-3.76
4.8554253484339396e-11,-3.76
4.858261617403473e-11,-3.75
4.882049100873308e-11,-3.75
4.9205558477953506e-11,-3.75
4.9629409417747486e-11,-3.74
4.996528765958057e-11,-3.74
5.010523408196843e-11,-3.73
4.999833735715867e-11,-3.73
4.967480740845593e-11,-3.73
4.923972543414753e-11,-3.72
4.883732153010357e-11,-3.72
4.860583612531531e-11,-3.71
4.863691118989632e-11,-3.71
4.894380901441024e-11,-3.71
4.945318710713231e-11,-3.7
5.002598474233894e-11,-3.7
5.050245023849047e-11,-3.7
5.075734182841029e-11,-3.69
5.0736302574609855e-11,-3.69
5.0463915357489584e-11,-3.68
5.0038401467834055e-11,-3.68
4.961027883638203e-11,-3.68
4.934005379995391e-11,-3.67
4.934811715856865e-11,-3.67
4.9671770551194227e-11,-3.66
5.024704542909752e-11,-3.66
5.0929966666301646e-11,-3.66
5.154433036756578e-11,-3.65
5.193718952437355e-11,-3.65
5.2026880524713526e-11,-3.64
5.1829469793899486e-11,-3.64
5.1454387939115585e-11,-3.64
5.106904794185848e-11,-3.63
5.0847109394091536e-11,-3.63
5.0913306673758627e-11,-3.62
5.1301753099655816e-11,-3.62
5.1944629333718296e-11,-3.62
5.269266677387271e-11,-3.61
5.336476370912465e-11,-3.61
5.380946623229378e-11,-3.61
5.395154921017022e-11,-3.6
5.3810904166665854e-11,-3.6
5.3493795874573636e-11,-3.59
5.315946463306684e-11,-3.59
5.296905105363985e-11,-3.59
5.303308266152248e-11,-3.58
5.3375576510059863e-11,-3.58
5.393061814012863e-11,-3.57
5.456902925243419e-11,-3.57
5.514030445285469e-11,-3.57
5.5521792578297e-11,-3.56
5.5659073469393196e-11,-3.56
5.557590637349322e-11,-3.55
5.535679821631357e-11,-3.55
5.5117585388131795e-11,-3.55
5.497090264018913e-11,-3.54
5.499241316110663e-11,-3.54
5.5201671476551555e-11,-3.54
5.5562252132707734e-11,-3.53
5.599477432787895e-11,-3.53
5.6403096235452603e-11,-3.52
5.670528191549774e-11,-3.52
5.6855320994580414e-11,-3.52
5.685452234754427e-11,-3.51
5.674934178248005e-11,-3.51
5.6613201636122834e-11,-3.5
5.6520091217939114e-11,-3.5
5.652193502826772e-11,-3.5
5.6633652230300043e-11,-3.49
5.683266728003307e-11,-3.49
5.707265993227793e-11,-3.48
5.7301236256654726e-11,-3.48
5.7477670700564494e-11,-3.48
5.758309621640275e-11,-3.47
5.761851538798224e-11,-3.47
5.759867446842454e-11,-3.46
5.754699294119212e-11,-3.46
5.748922054153428e-11,-3.46
5.744709318123352e-11,-3.45
5.743476978423457e-11,-3.45
5.7457166837977284e-11,-3.45
5.7509795968469564e-11,-3.44
5.758198193236463e-11,-3.44
5.7661119213545714e-11,-3.43
5.773520477932655e-11,-3.43
5.7793830643651325e-11,-3.43
5.782824411520004e-11,-3.42
5.783201549242737e-11,-3.42
5.780108145465052e-11,-3.41
5.773386538771594e-11,-3.41
5.763628832404029e-11,-3.41
5.752550436952942e-11,-3.4
5.742415011701513e-11,-3.4
5.735259968059158e-11,-3.39
5.7323145942804554e-11,-3.39
5.7336869389097444e-11,-3.39
5.738255463878773e-11,-3.38
5.743729464801998e-11,-3.38
5.747166258105387e-11,-3.38
5.7458849651964536e-11,-3.37
5.7383744746507984e-11,-3.37
5.724803501086786e-11,-3.36
5.706884915361841e-11,-3.36
5.687538462213816e-11,-3.36
5.6702425893434587e-11,-3.35
5.658101377451083e-11,-3.35
5.6528702948838277e-11,-3.34
5.654075418430109e-11,-3.34
5.65908755352577e-11,-3.34
5.663853338645912e-11,-3.33
5.6640426351473435e-11,-3.33
5.6563524777609696e-11,-3.32
5.639537875633972e-11,-3.32
5.615123471171634e-11,-3.32
5.5871490961160223e-11,-3.31
5.5608363124507136e-11,-3.31
5.5409877835898805e-11,-3.3
5.5305557455311456e-11,-3.3
5.529789509180228e-11,-3.3
