avg_evoked,order
2.8607241669422703e-11,-4.0
2.8501684847129725e-11,-4.0
2.839040502023057e-11,-3.99
2.828427778490145e-11,-3.99
2.8192504163376097e-11,-3.98
2.8123661722343444e-11,-3.98
2.8084290999278547e-11,-3.98
2.8072791922350506e-11,-3.97
2.8080155702867733e-11,-3.97
2.8095075247898096e-11,-3.96
2.8105487978867904e-11,-3.96
2.80968373593713e-11,-3.96
2.80554074553371e-11,-3.95
2.7976181052221204e-11,-3.95
2.7862730761947373e-11,-3.95
2.77219750088205e-11,-3.94
2.7564291941130886e-11,-3.94
2.7406040101012586e-11,-3.93
2.726525163356786e-11,-3.93
2.715513057643271e-11,-3.93
2.708110348162914e-11,-3.92
2.7038401381577773e-11,-3.92
2.7010815713348102e-11,-3.91
2.697780587526779e-11,-3.91
2.6925200811902744e-11,-3.91
2.6847404104090635e-11,-3.9
2.6744864034838908e-11,-3.9
2.662502681381376e-11,-3.89
2.650050825682945e-11,-3.89
2.638283749559109e-11,-3.89
2.628016057241181e-11,-3.88
2.6198536893646002e-11,-3.88
2.6140974398737438e-11,-3.88
2.6102746696299958e-11,-3.87
2.607340531825511e-11,-3.87
2.6043174506937685e-11,-3.86
2.600308781130879e-11,-3.86
2.5946273702692614e-11,-3.86
2.5873400670772137e-11,-3.85
2.5793509240768187e-11,-3.85
2.5717936649207557e-11,-3.84
2.5654678355955152e-11,-3.84
2.560804415678852e-11,-3.84
2.5579942773973786e-11,-3.83
2.5569401839727687e-11,-3.83
2.557322702042364e-11,-3.82
2.5585921273467332e-11,-3.82
2.559745485595024e-11,-3.82
2.5595970888727514e-11,-3.81
2.5574403801762684e-11,-3.81
2.553234266360359e-11,-3.8
2.5473505068995032e-11,-3.8
2.54060136289734e-11,-3.8
2.53420922050873e-11,-3.79
2.5291052814546605e-11,-3.79
2.5255752747837124e-11,-3.79
2.523737258822071e-11,-3.78
2.5235298065820285e-11,-3.78
2.5244036912670697e-11,-3.77
2.52568514096908e-11,-3.77
2.5269773898068826e-11,-3.77
2.528047365038334e-11,-3.76
2.5287470525197412e-11,-3.76
2.5291816372911643e-11,-3.75
2.5297194815618077e-11,-3.75
2.5306513102994392e-11,-3.75
2.5321262850206285e-11,-3.74
2.534349353082946e-11,-3.74
2.537462453158264e-11,-3.73
