avg_evoked,order
4.618411375964445e-11,-4.0
4.6223982012895385e-11,-4.0
4.610474704283229e-11,-3.99
4.5993395466206725e-11,-3.99
4.611412063929021e-11,-3.98
4.62553672096823e-11,-3.98
4.624550157761456e-11,-3.98
4.60847137494032e-11,-3.97
4.5797842012484716e-11,-3.97
4.5545636148402304e-11,-3.96
4.5511654635732715e-11,-3.96
4.5658935073669913e-11,-3.96
4.580429649635753e-11,-3.95
4.582593918425454e-11,-3.95
4.579198357169861e-11,-3.95
4.5709403331920465e-11,-3.94
4.5536946208057476e-11,-3.94
4.544904490017876e-11,-3.93
4.548986492628911e-11,-3.93
4.550444944277415e-11,-3.93
4.55002765569157e-11,-3.92
4.5512707408083906e-11,-3.92
4.553126025127583e-11,-3.91
4.55900990361666e-11,-3.91
4.565009026896774e-11,-3.91
4.57362120283897e-11,-3.9
4.579181134992054e-11,-3.9
4.577921310429043e-11,-3.89
4.581135870561819e-11,-3.89
4.5941332241573443e-11,-3.89
4.6027754935179004e-11,-3.88
4.600964402806898e-11,-3.88
4.597754963292324e-11,-3.88
4.593308213950619e-11,-3.87
4.585848775218495e-11,-3.87
4.568061096039387e-11,-3.86
4.542046445226048e-11,-3.86
4.5233796472789085e-11,-3.86
4.5194888557214444e-11,-3.85
4.517412707368981e-11,-3.85
4.511350679716422e-11,-3.84
4.4993390054278445e-11,-3.84
4.493470523082935e-11,-3.84
4.498947181543339e-11,-3.83
4.514808844138856e-11,-3.83
4.5324857185623094e-11,-3.82
4.53921589839801e-11,-3.82
4.536791196899499e-11,-3.82
4.530620453012208e-11,-3.81
4.531886752834125e-11,-3.81
4.544063362681917e-11,-3.8
4.556377021661485e-11,-3.8
4.5570793939905946e-11,-3.8
4.5547720397128865e-11,-3.79
4.5538243822300194e-11,-3.79
4.5604300946093245e-11,-3.79
4.5633160554580925e-11,-3.78
4.5561326679081264e-11,-3.78
4.553003257826253e-11,-3.77
4.5457247881678546e-11,-3.77
4.5310761912168926e-11,-3.77
4.5286417611427506e-11,-3.76
4.542607557935e-11,-3.76
4.5650481101623215e-11,-3.75
4.597301911203904e-11,-3.75
4.616844220409475e-11,-3.75
4.617520385874382e-11,-3.74
4.620615365798795e-11,-3.74
4.632970723942887e-11,-3.73
4.6320888786162856e-11,-3.73
4.613354468315096e-11,-3.73
4.592771284351504e-11,-3.72
4.586236578982189e-11,-3.72
4.581001567747971e-11,-3.71
4.561227392946556e-11,-3.71
4.533701145147056e-11,-3.71
4.5019786936421996e-11,-3.7
4.4696861129996146e-11,-3.7
4.417819382920217e-11,-3.7
4.354333284068953e-11,-3.69
4.3168342221216004e-11,-3.69
4.297887678243452e-11,-3.68
4.29434098864422e-11,-3.68
4.309795556569741e-11,-3.68
4.304609229981709e-11,-3.67
4.2824807438074616e-11,-3.67
4.2701496396842215e-11,-3.66
4.257207203303364e-11,-3.66
4.233848514577739e-11,-3.66
4.1927674308086805e-11,-3.65
4.1375986869710356e-11,-3.65
4.104127380955682e-11,-3.64
4.080737423768604e-11,-3.64
4.0291524077212933e-11,-3.64
3.950523939851866e-11,-3.63
3.8742682003518766e-11,-3.63
3.823676237616897e-11,-3.62
