avg_evoked,order
1.1409770865395532e-11,-4.0
1.140391400577821e-11,-4.0
1.1416347088496739e-11,-3.99
1.1408895062844683e-11,-3.99
1.139604746259849e-11,-3.98
1.1398485457537997e-11,-3.98
1.1405834768829223e-11,-3.98
1.1402419729158638e-11,-3.97
1.1396846450262783e-11,-3.97
1.1409940123856946e-11,-3.96
1.1423189466082964e-11,-3.96
1.1417910607147915e-11,-3.96
1.142942576414797e-11,-3.95
1.1451829754985826e-11,-3.95
1.1450474365082305e-11,-3.95
1.1462133974569344e-11,-3.94
1.1491435321440843e-11,-3.94
1.149095240637317e-11,-3.93
1.1495985529765038e-11,-3.93
1.1532779154163582e-11,-3.93
1.1534779927634055e-11,-3.92
1.1519500024615478e-11,-3.92
1.155735826887829e-11,-3.91
1.1575295977799748e-11,-3.91
1.1543228309100574e-11,-3.91
1.156641061834316e-11,-3.9
1.1605618733610646e-11,-3.9
1.157390691523947e-11,-3.89
1.1573686240075775e-11,-3.89
1.1628227418958591e-11,-3.89
1.1616872286682242e-11,-3.88
1.1595655155677071e-11,-3.88
1.1652696521752203e-11,-3.88
1.1674734286188389e-11,-3.87
1.1646221062651409e-11,-3.87
1.1694823465504587e-11,-3.86
1.1751469134852386e-11,-3.86
1.1732480183820854e-11,-3.86
1.1760669970071761e-11,-3.85
1.1844406302917303e-11,-3.85
1.1852631257370727e-11,-3.84
1.185452268266471e-11,-3.84
1.194498698320466e-11,-3.84
1.1996497618588172e-11,-3.83
1.198537654723502e-11,-3.83
1.2058153740973371e-11,-3.82
1.2149242704870113e-11,-3.82
1.2148505567819257e-11,-3.82
1.2188355886085607e-11,-3.81
1.2299418087530358e-11,-3.81
1.2328845681467568e-11,-3.8
1.2338203867718302e-11,-3.8
1.2444047413243228e-11,-3.8
1.2514546288733738e-11,-3.79
1.2511679501304608e-11,-3.79
1.2591695341726228e-11,-3.79
1.2695519039909453e-11,-3.78
1.2703839475445834e-11,-3.78
1.2749476926814378e-11,-3.77
1.2868730129893637e-11,-3.77
1.2905035174097211e-11,-3.77
1.2920614647125518e-11,-3.76
1.3029595227491207e-11,-3.76
1.3093746546070254e-11,-3.75
1.3096033679510174e-11,-3.75
1.317459627884128e-11,-3.75
1.3254980266548041e-11,-3.74
1.3260270927806259e-11,-3.74
1.3312318369155919e-11,-3.73
1.3404642717004958e-11,-3.73
1.3427798668088039e-11,-3.73
1.3456222297913262e-11,-3.72
1.355354157552389e-11,-3.72
1.3611930065317864e-11,-3.71
1.3628188966491987e-11,-3.71
1.3711310851352247e-11,-3.71
1.380407232391896e-11,-3.7
1.383008597371789e-11,-3.7
1.3890147660444263e-11,-3.7
1.4004275524994386e-11,-3.69
1.4057139767055895e-11,-3.69
1.4101834190728973e-11,-3.68
1.4224026127702188e-11,-3.68
1.4308397819442544e-11,-3.68
1.434145344920373e-11,-3.67
1.4452272347991558e-11,-3.67
1.4562527109990304e-11,-3.66
1.458988440562617e-11,-3.66
1.4656277826087736e-11,-3.66
1.4763460439037057e-11,-3.65
1.4806794238337097e-11,-3.65
1.4834599070561483e-11,-3.64
1.4905977121721276e-11,-3.64
1.495868339107008e-11,-3.64
1.4977218029565742e-11,-3.63
1.5006961869383398e-11,-3.63
1.5041878432921448e-11,-3.62
1.506313728113784e-11,-3.62
1.507188040120146e-11,-3.62
1.5083965994086906e-11,-3.61
1.5105418937712032e-11,-3.61
1.5109971239356374e-11,-3.61
1.5103017688189653e-11,-3.6
1.5118396926638783e-11,-3.6
1.5129002382093517e-11,-3.59
1.5112625262667223e-11,-3.59
1.511071030119726e-11,-3.59
1.5123614939995014e-11,-3.58
1.5112732482932954e-11,-3.58
1.5096913736937725e-11,-3.57
1.5102217325624377e-11,-3.57
1.5104821110003133e-11,-3.57
1.5091101228589884e-11,-3.56
1.508255451492668e-11,-3.56
1.508932948952429e-11,-3.55
1.5087325872071365e-11,-3.55
1.5067696912660256e-11,-3.55
1.5065702392434664e-11,-3.54
1.507667390808747e-11,-3.54
1.5055172223932948e-11,-3.54
1.5030427304049757e-11,-3.53
1.5042837376721435e-11,-3.53
1.5035270559088323e-11,-3.52
1.498939871015299e-11,-3.52
1.49802863383053e-11,-3.52
1.4991744986231088e-11,-3.51
1.4948857851691286e-11,-3.51
1.490984143760646e-11,-3.5
1.4925228792414e-11,-3.5
1.490813831619601e-11,-3.5
1.485292355157014e-11,-3.49
1.484920931069784e-11,-3.49
1.4857615463514767e-11,-3.48
1.480472564971984e-11,-3.48
1.476701077138186e-11,-3.48
1.4780449262788463e-11,-3.47
1.4744281239129176e-11,-3.47
1.4675368402479483e-11,-3.46
1.4669336649866093e-11,-3.46
1.4657124329984368e-11,-3.46
1.4575089050575802e-11,-3.45
1.4532996069762181e-11,-3.45
1.4537314876705754e-11,-3.45
1.4470739065588099e-11,-3.44
1.4395265892771381e-11,-3.44
1.4394108585411843e-11,-3.43
1.436020171796723e-11,-3.43
1.427031829615108e-11,-3.43
1.4246149370731839e-11,-3.42
1.4240565768510894e-11,-3.42
1.4161004633756318e-11,-3.41
1.4107243815879456e-11,-3.41
1.4111475757584712e-11,-3.41
1.4062392993506971e-11,-3.4
1.3987858126433514e-11,-3.4
1.3977168530546536e-11,-3.39
1.395889640648024e-11,-3.39
1.3881716860348474e-11,-3.39
1.3841511313274495e-11,-3.38
1.3839293904340303e-11,-3.38
1.3779500476677593e-11,-3.38
1.3710897301501026e-11,-3.37
1.3707606366217023e-11,-3.37
1.3677342203024746e-11,-3.36
1.359515400888125e-11,-3.36
1.3574219726650423e-11,-3.36
1.3575288095192441e-11,-3.35
1.3501370158083974e-11,-3.35
1.3451273362511523e-11,-3.34
1.3469360594024078e-11,-3.34
1.3423877323653538e-11,-3.34
1.3349716624898791e-11,-3.33
1.336080228906833e-11,-3.33
1.3350301683223649e-11,-3.32
1.3269427534450482e-11,-3.32
1.3251154789115137e-11,-3.32
1.3265207047772132e-11,-3.31
1.3203221217582988e-11,-3.31
1.3152898302615641e-11,-3.3
1.3168260561645742e-11,-3.3
1.3140878413950778e-11,-3.3
1.308131617341294e-11,-3.29
1.30781649301838e-11,-3.29
1.3074577600838901e-11,-3.29
1.3025318412447779e-11,-3.28
1.3000988739878144e-11,-3.28
1.3001438299400706e-11,-3.27
1.2968806613988782e-11,-3.27
1.2936147060624385e-11,-3.27
