avg_evoked,order
1.514285169898135e-11,-4.0
1.511389061527392e-11,-4.0
1.5071085908973058e-11,-3.99
1.5041813955848318e-11,-3.99
1.5044489732248626e-11,-3.98
1.5075569425467666e-11,-3.98
1.51123899538083e-11,-3.98
1.5129666342589208e-11,-3.97
1.5117252874265958e-11,-3.97
1.5085806779169533e-11,-3.96
1.5056981893385816e-11,-3.96
1.5047533660130903e-11,-3.96
1.505955747422123e-11,-3.95
1.508315589896248e-11,-3.95
1.510474670791278e-11,-3.95
1.511232038977966e-11,-3.94
1.5099558985045688e-11,-3.94
1.506966430558502e-11,-3.93
1.503364537283469e-11,-3.93
1.500405989697292e-11,-3.93
1.498927809852842e-11,-3.92
1.499074568197157e-11,-3.92
1.5001767591478892e-11,-3.91
1.5010647840627435e-11,-3.91
1.5007050463025794e-11,-3.91
1.498656500930484e-11,-3.9
1.49524662727384e-11,-3.9
1.4916681781586862e-11,-3.89
1.489479837922873e-11,-3.89
1.4895900135742584e-11,-3.89
1.4917021231952405e-11,-3.88
1.494416880784409e-11,-3.88
1.496032151742052e-11,-3.88
1.4956108557252823e-11,-3.87
1.493359261825416e-11,-3.87
1.4903016188800887e-11,-3.86
1.4877849096726304e-11,-3.86
1.4868638041333787e-11,-3.86
1.4875229995037266e-11,-3.85
1.48875895935924e-11,-3.85
1.4890958639719533e-11,-3.84
1.487087383842065e-11,-3.84
1.4826221020693052e-11,-3.84
1.4771464044391177e-11,-3.83
1.472371595899868e-11,-3.83
1.4693953757460978e-11,-3.82
1.4684184394919793e-11,-3.82
1.468594215380714e-11,-3.82
1.4683841947343452e-11,-3.81
1.466372187754501e-11,-3.81
1.4619672897364214e-11,-3.8
1.455740764022699e-11,-3.8
1.449268374118716e-11,-3.8
1.4441347528842718e-11,-3.79
1.4412168456223432e-11,-3.79
1.4404924271855696e-11,-3.79
1.4407399841557155e-11,-3.78
1.4399878764747108e-11,-3.78
1.4365242108119021e-11,-3.77
1.4297642781494307e-11,-3.77
1.4208016962560314e-11,-3.77
1.412147987979082e-11,-3.76
1.4062909298876169e-11,-3.76
1.4040981813888424e-11,-3.75
1.4043010306795555e-11,-3.75
1.4040213758344843e-11,-3.75
1.4003128025010413e-11,-3.74
1.3918245645553848e-11,-3.74
1.37970262024954e-11,-3.73
1.3673208555754362e-11,-3.73
1.3585201047066025e-11,-3.73
1.3552246497599784e-11,-3.72
1.3558182546602429e-11,-3.72
1.355671187671393e-11,-3.71
1.3502793807848009e-11,-3.71
1.338494767890965e-11,-3.71
1.3232709225512689e-11,-3.7
1.30987157403851e-11,-3.7
1.3025566187522771e-11,-3.7
1.3017540274817507e-11,-3.69
1.3039635062941824e-11,-3.69
1.3041310165925482e-11,-3.68
1.2987254620540334e-11,-3.68
1.288148437306097e-11,-3.68
1.276205580422709e-11,-3.67
1.2671849303380785e-11,-3.67
1.263368592904159e-11,-3.66
1.2637858120301813e-11,-3.66
1.2648206001185752e-11,-3.66
1.2626581502599006e-11,-3.65
1.2560003874600279e-11,-3.65
1.247043008707654e-11,-3.64
1.2397637419713469e-11,-3.64
1.2371826239827713e-11,-3.64
1.2392596913559959e-11,-3.63
1.2425218642261865e-11,-3.63
1.2427018214772364e-11,-3.62
1.2382651986716132e-11,-3.62
1.23129566112557e-11,-3.62
1.2257326474096664e-11,-3.61
1.2248094151091342e-11,-3.61
1.2291305119307773e-11,-3.61
1.2363176017895322e-11,-3.6
1.2424855899090425e-11,-3.6
1.2447492568146402e-11,-3.59
1.2430714088923426e-11,-3.59
1.2398194113204641e-11,-3.59
1.2379215090996432e-11,-3.58
1.2393684747785206e-11,-3.58
1.2442801100606866e-11,-3.57
1.2510369512701934e-11,-3.57
1.2574662375540996e-11,-3.57
1.2620502614715146e-11,-3.56
1.2644944883344474e-11,-3.56
1.2655714210190695e-11,-3.55
1.2663369981970217e-11,-3.55
1.2672371385981769e-11,-3.55
1.2682687509744957e-11,-3.54
1.2698544079852406e-11,-3.54
1.2730507484722562e-11,-3.54
1.278451241866467e-11,-3.53
1.2848165807153803e-11,-3.53
1.2891967948683946e-11,-3.52
1.2890044177727908e-11,-3.52
1.2843818347832396e-11,-3.52
1.278519779775526e-11,-3.51
1.2756499896627669e-11,-3.51
1.2779894513662449e-11,-3.5
1.2842427933572453e-11,-3.5
1.290783327356571e-11,-3.5
1.2939895351413825e-11,-3.49
1.2922446111704996e-11,-3.49
1.2868696464692533e-11,-3.48
1.281276653326444e-11,-3.48
1.2784665144469852e-11,-3.48
1.2790413239035898e-11,-3.47
1.2813260591238937e-11,-3.47
1.2828264949473656e-11,-3.46
1.2817915203586633e-11,-3.46
1.278133431933204e-11,-3.46
1.2732021364044575e-11,-3.45
1.2690512558822299e-11,-3.45
1.26741019257602e-11,-3.45
1.2684640450560527e-11,-3.44
1.2706900603672905e-11,-3.44
1.2718192479711991e-11,-3.43
1.2700781988207002e-11,-3.43
1.2654324785828876e-11,-3.43
1.2600526414863407e-11,-3.42
1.2570748565695036e-11,-3.42
1.2583144669083497e-11,-3.41
1.2628710639798242e-11,-3.41
1.2676470911365656e-11,-3.41
1.2694877671067434e-11,-3.4
1.2675113575890723e-11,-3.4
1.2639427799051786e-11,-3.39
1.262512385980959e-11,-3.39
1.2655969390317943e-11,-3.39
1.2725797296251576e-11,-3.38
1.2804219355630726e-11,-3.38
1.2855284320074e-11,-3.38
1.2858387228464735e-11,-3.37
1.2822139157552403e-11,-3.37
1.2778315286762167e-11,-3.36
1.2759371980388623e-11,-3.36
1.2779276066559132e-11,-3.36
1.282916347468377e-11,-3.35
1.2883957706738183e-11,-3.35
1.2913775200289021e-11,-3.34
1.289838107155809e-11,-3.34
1.2841372409835777e-11,-3.34
1.2770471254974904e-11,-3.33
1.2718627180173358e-11,-3.33
1.2703110866454566e-11,-3.32
1.271693326506006e-11,-3.32
1.2733370780753635e-11,-3.32
1.272201417177096e-11,-3.31
1.2666071095792622e-11,-3.31
1.2572329695660244e-11,-3.3
1.247019662895684e-11,-3.3
1.2392237000079688e-11,-3.3
1.2353443404502795e-11,-3.29
1.2344812058220023e-11,-3.29
1.233978125288446e-11,-3.29
1.2311012808671157e-11,-3.28
1.224842222856453e-11,-3.28
1.2162500772776513e-11,-3.27
1.207662514444988e-11,-3.27
1.2016089049815807e-11,-3.27
1.1993457137747078e-11,-3.26
1.199915470166159e-11,-3.26
1.2006440826129074e-11,-3.25
1.1987365148407443e-11,-3.25
1.1932705936493261e-11,-3.25
1.1861082527636168e-11,-3.24
1.1804721242082787e-11,-3.24
1.1785973113571146e-11,-3.23
1.1805729121572097e-11,-3.23
1.1848382906753442e-11,-3.23
1.1892650003930328e-11,-3.22
1.192258100201805e-11,-3.22
1.1934298680132632e-11,-3.21
1.193268803652878e-11,-3.21
1.1927986384149887e-11,-3.21
1.1934404226414752e-11,-3.2
1.1965180118378619e-11,-3.2
1.2026641953212642e-11,-3.2
1.2113003436804577e-11,-3.19
1.2206471431470514e-11,-3.19
1.2286841302688679e-11,-3.18
1.2343030052198165e-11,-3.18
1.2376614727571976e-11,-3.18
1.2399854543449367e-11,-3.17
1.2431520775923705e-11,-3.17
1.2486702513589388e-11,-3.16
1.2568332824951354e-11,-3.16
1.2663998730727462e-11,-3.16
1.27510560224064e-11,-3.15
1.2811223989593815e-11,-3.15
1.284593688517262e-11,-3.14
1.2877342312216767e-11,-3.14
1.2928810439195188e-11,-3.14
1.3006857003413943e-11,-3.13
1.3097060815134935e-11,-3.13
1.3175650590022362e-11,-3.12
1.3227551169224533e-11,-3.12
1.3255919162941977e-11,-3.12
1.3277241042430868e-11,-3.11
1.3307675837545821e-11,-3.11
1.3351451397728719e-11,-3.11
1.3400576886444142e-11,-3.1
1.3443873641245183e-11,-3.1
1.3474525539158798e-11,-3.09
1.3491296675209952e-11,-3.09
1.3500369524561841e-11,-3.09
1.351216582134033e-11,-3.08
1.3531951771034842e-11,-3.08
1.3556421132699826e-11,-3.07
1.3577449581377135e-11,-3.07
1.358849553331185e-11,-3.07
1.3588065747662641e-11,-3.06
1.3580751321926389e-11,-3.06
1.3573106749647154e-11,-3.05
1.357012878222348e-11,-3.05
1.3573682911792545e-11,-3.05
1.3579863485894899e-11,-3.04
1.3581711157709757e-11,-3.04
1.3575553953089976e-11,-3.04
1.3561621478387007e-11,-3.03
1.3541572477861775e-11,-3.03
1.3517301457776244e-11,-3.02
1.3490238088339306e-11,-3.02
1.3462765878985827e-11,-3.02
1.3440425718185798e-11,-3.01
1.3428464152263452e-11,-3.01
1.3426962344933146e-11,-3.0
1.3431557540423055e-11,-3.0
1.34339533555085e-11,-3.0
1.3425340232712506e-11,-2.99
1.3402052980438629e-11,-2.99
1.3369091171417798e-11,-2.98
1.333944197536006e-11,-2.98
1.332726407199511e-11,-2.98
1.3340773657061554e-11,-2.97
1.3376801916155269e-11,-2.97
1.3419857626334383e-11,-2.96
1.3450206949273042e-11,-2.96
1.3457578680833098e-11,-2.96
1.3449004622107326e-11,-2.95
1.3443521266088973e-11,-2.95
1.3459483139696992e-11,-2.95
1.3504080490485554e-11,-2.94
1.3570901059069941e-11,-2.94
1.3644998114224652e-11,-2.93
1.3711660272057412e-11,-2.93
1.376248397572497e-11,-2.93
1.3796049995299164e-11,-2.92
1.381783807786856e-11,-2.92
1.3838021437988007e-11,-2.91
1.3867582736591375e-11,-2.91
1.3914597183281484e-11,-2.91
1.398226915613687e-11,-2.9
1.4064989253710659e-11,-2.9
1.41455444963476e-11,-2.89
1.4207136322851628e-11,-2.89
1.424252108309944e-11,-2.89
1.4254431237803233e-11,-2.88
1.4254315434948451e-11,-2.88
1.4258003185483603e-11,-2.88
1.4276710019072496e-11,-2.87
1.4309277643679728e-11,-2.87
1.4345668422659955e-11,-2.86
1.4375536875649322e-11,-2.86
1.4392260623542771e-11,-2.86
1.4394476112638474e-11,-2.85
1.43859231931741e-11,-2.85
1.4374023967387345e-11,-2.84
1.4367574452044648e-11,-2.84
1.4369871334541448e-11,-2.84
1.4376883006589064e-11,-2.83
1.4384405895945222e-11,-2.83
1.4392138059987002e-11,-2.82
1.4400815115933811e-11,-2.82
1.440896029159819e-11,-2.82
