avg_evoked,order
4.7938210114717956e-11,-4.0
4.790623414307519e-11,-4.0
4.7941624418573454e-11,-3.99
4.803742694557841e-11,-3.99
4.8168694731957095e-11,-3.98
4.829947578338072e-11,-3.98
4.8392594454501747e-11,-3.98
4.842079825914076e-11,-3.97
4.837668295300502e-11,-3.97
4.827421313849572e-11,-3.96
4.814271000345353e-11,-3.96
4.8018283563977e-11,-3.96
4.793379582214679e-11,-3.95
4.790952158291816e-11,-3.95
4.794739876781959e-11,-3.95
4.803167613458063e-11,-3.94
4.8133756367002715e-11,-3.94
4.8219748471514255e-11,-3.93
4.8261827777531776e-11,-3.93
4.824667854608765e-11,-3.93
4.817544688801579e-11,-3.92
4.8060598879184976e-11,-3.92
4.792230002258449e-11,-3.91
4.7782680824896655e-11,-3.91
4.766064537200171e-11,-3.91
4.75684710544269e-11,-3.9
4.7511091114081024e-11,-3.9
4.748621444728512e-11,-3.89
4.748569137123162e-11,-3.89
4.749774715971945e-11,-3.89
4.750691316983017e-11,-3.88
4.749628028460069e-11,-3.88
4.745114004555664e-11,-3.88
4.736212381973682e-11,-3.87
4.7229741992574556e-11,-3.87
4.706529048143247e-11,-3.86
4.688729212684255e-11,-3.86
4.67167609904461e-11,-3.86
4.657218993405102e-11,-3.85
4.646429229194061e-11,-3.85
4.6392144828746625e-11,-3.84
4.6342628297882825e-11,-3.84
4.6294648931315075e-11,-3.84
4.622826448443045e-11,-3.83
4.613159992067388e-11,-3.83
4.6001378210228984e-11,-3.82
4.584044099408123e-11,-3.82
4.565654220353119e-11,-3.82
4.546148614894862e-11,-3.81
4.526744926310796e-11,-3.81
4.5083298288110276e-11,-3.8
4.491474177558686e-11,-3.8
4.476530232711259e-11,-3.8
4.463348861379815e-11,-3.79
4.451119642134774e-11,-3.79
4.438765331129109e-11,-3.79
4.425217419043292e-11,-3.78
4.4096190567394375e-11,-3.78
4.391625241772977e-11,-3.77
4.371532272851141e-11,-3.77
4.350335139445921e-11,-3.77
4.329526625146752e-11,-3.76
4.3104579586750065e-11,-3.76
4.2938406692318417e-11,-3.75
4.279684794870228e-11,-3.75
4.267403928677879e-11,-3.75
4.2560175195224425e-11,-3.74
4.244346775778795e-11,-3.74
4.2313770610347176e-11,-3.73
4.216571698150065e-11,-3.73
4.199918755157087e-11,-3.73
4.1819967343502166e-11,-3.72
4.163835029352369e-11,-3.72
4.146553375478851e-11,-3.71
4.131046853976633e-11,-3.71
4.117760799550027e-11,-3.71
4.106559935890899e-11,-3.7
4.096797834568462e-11,-3.7
4.0877600222828915e-11,-3.7
4.079036803396951e-11,-3.69
4.0704422117633315e-11,-3.69
4.061720607441315e-11,-3.68
4.05256489919528e-11,-3.68
4.04280126099171e-11,-3.68
4.032349919506403e-11,-3.67
4.0212403955642395e-11,-3.67
4.009705954321038e-11,-3.66
3.998147831051397e-11,-3.66
3.987056616300638e-11,-3.66
3.97704366481872e-11,-3.65
3.968758920980248e-11,-3.65
3.96268716952342e-11,-3.64
3.9589923444517126e-11,-3.64
3.957376295414095e-11,-3.64
3.957108909523455e-11,-3.63
3.957143445924873e-11,-3.63
3.956204344950968e-11,-3.62
3.95283207346537e-11,-3.62
3.9457048962220155e-11,-3.62
3.934262373668575e-11,-3.61
3.919069702922321e-11,-3.61
3.9019055013741766e-11,-3.61
3.885573709555741e-11,-3.6
3.873153511481307e-11,-3.6
3.8669225642817976e-11,-3.59
3.867330595296308e-11,-3.59
3.8724582297345024e-11,-3.59
3.8783789608527816e-11,-3.58
3.8802521463493194e-11,-3.58
3.8738111931047396e-11,-3.57
3.8568862418914614e-11,-3.57
3.830520484787602e-11,-3.57
3.7991197292408795e-11,-3.56
3.769025068031999e-11,-3.56
3.746098896160089e-11,-3.55
3.7338113189057544e-11,-3.55
3.7322649968154605e-11,-3.55
3.738008827446363e-11,-3.54
3.7449916862870077e-11,-3.54
3.746493269468337e-11,-3.54
3.7373649605454005e-11,-3.53
3.715744088527923e-11,-3.53
3.683614781148636e-11,-3.52
3.6461374935478615e-11,-3.52
3.610100451356125e-11,-3.52
3.5819860927185394e-11,-3.51
3.5659584222966516e-11,-3.51
3.562370109027355e-11,-3.5
3.567513657118912e-11,-3.5
3.574927712571525e-11,-3.5
3.577379311022857e-11,-3.49
3.569086598076025e-11,-3.49
3.547595952500889e-11,-3.48
3.51442917501685e-11,-3.48
3.4745782833515134e-11,-3.48
3.435118499907497e-11,-3.47
3.4032509398079996e-11,-3.47
3.3840312146613694e-11,-3.46
3.378555085579514e-11,-3.46
3.3835411469895544e-11,-3.46
3.3923379830642993e-11,-3.45
3.396988905592956e-11,-3.45
3.390733480827091e-11,-3.45
3.370224535650741e-11,-3.44
3.336579223352978e-11,-3.44
3.294995917641294e-11,-3.43
3.253253311109325e-11,-3.43
3.219316946704546e-11,-3.43
3.1986777110433276e-11,-3.42
3.192521256188205e-11,-3.42
3.1974416532607254e-11,-3.41
3.2066454765171716e-11,-3.41
3.212200797442927e-11,-3.41
3.207448280476431e-11,-3.4
3.188861712073525e-11,-3.4
3.157169426554984e-11,-3.39
3.1171884137403336e-11,-3.39
3.0762594146880307e-11,-3.39
3.04201478668211e-11,-3.38
3.020187728570362e-11,-3.38
3.012879832428796e-11,-3.38
3.0177065314883915e-11,-3.37
3.0283489581706845e-11,-3.37
3.036547504007572e-11,-3.36
3.034722763112111e-11,-3.36
3.0184353796662907e-11,-3.36
2.987870811314175e-11,-3.35
2.9477566758397406e-11,-3.35
2.9057857681244673e-11,-3.34
2.870182510534241e-11,-3.34
2.847321746748018e-11,-3.34
2.8398759230117483e-11,-3.33
2.8458762426403018e-11,-3.33
2.859235642842324e-11,-3.32
2.8717238462819673e-11,-3.32
2.8755928543645417e-11,-3.32
2.8660268790870057e-11,-3.31
2.8426627446458596e-11,-3.31
2.8095624968845712e-11,-3.3
2.7737271589471837e-11,-3.3
2.7430707716984426e-11,-3.3
2.724199106148439e-11,-3.29
2.720296725940177e-11,-3.29
2.7300650481631633e-11,-3.29
2.7481289348239312e-11,-3.28
2.7668036384740454e-11,-3.28
2.778603495985172e-11,-3.27
2.7784227256055087e-11,-3.27
2.764919188488237e-11,-3.27
2.7408958568049178e-11,-3.26
2.712390996142481e-11,-3.26
2.6868875963953977e-11,-3.25
2.6711150023942548e-11,-3.25
2.668989406809029e-11,-3.25
2.6805195867926606e-11,-3.24
2.7018534383917148e-11,-3.24
2.7264717705519683e-11,-3.23
2.7471373698062318e-11,-3.23
2.7579503404943875e-11,-3.23
2.7560687036951007e-11,-3.22
2.7425823198746697e-11,-3.22
2.7221915050331534e-11,-3.21
2.7017195981173522e-11,-3.21
2.6879811630147347e-11,-3.21
2.6857177205493614e-11,-3.2
2.696250314081417e-11,-3.2
2.7172373777448587e-11,-3.2
2.74344850702381e-11,-3.19
2.768245956464375e-11,-3.19
2.7855306608729602e-11,-3.18
2.791702784654865e-11,-3.18
2.7867280240572285e-11,-3.18
2.7740252114708237e-11,-3.17
2.7592867726144494e-11,-3.17
2.7486389864104326e-11,-3.16
2.7468178378057246e-11,-3.16
2.755740797330525e-11,-3.16
2.7740404647782715e-11,-3.15
2.7976564990074712e-11,-3.15
2.8211178008290402e-11,-3.14
2.8392166669910018e-11,-3.14
2.8485588068069942e-11,-3.14
2.8484473226417928e-11,-3.13
2.8409926181322354e-11,-3.13
2.8303206494803375e-11,-3.12
2.8212150954636584e-11,-3.12
2.817784358263374e-11,-3.12
2.8223515844705265e-11,-3.11
2.834913152610933e-11,-3.11
2.8532183015000498e-11,-3.11
2.8733567199624012e-11,-3.1
2.890916773194224e-11,-3.1
2.9021858932358427e-11,-3.09
2.9049966177872084e-11,-3.09
2.899273864751393e-11,-3.09
2.887130552175165e-11,-3.08
2.8724253654381017e-11,-3.08
2.8598891980658117e-11,-3.07
2.853985307422892e-11,-3.07
2.8575887983486474e-11,-3.07
2.8708684996572015e-11,-3.06
2.8909048821592377e-11,-3.06
2.912402212317046e-11,-3.05
2.9292696752847405e-11,-3.05
2.936535237639235e-11,-3.05
2.931911010581393e-11,-3.04
2.9164514258932774e-11,-3.04
2.8944015686680706e-11,-3.04
2.872248147507051e-11,-3.03
2.856776529142082e-11,-3.03
2.8528793778852377e-11,-3.02
2.8619735543474367e-11,-3.02
2.881576085823277e-11,-3.02
2.906079506399099e-11,-3.01
2.928306178299061e-11,-3.01
2.941566206572632e-11,-3.0
2.9416458136065974e-11,-3.0
2.9282151615932244e-11,-3.0
2.9051466998620734e-11,-2.99
2.8792792736085313e-11,-2.99
2.858100920832115e-11,-2.98
2.8474038338802646e-11,-2.98
2.849700755469277e-11,-2.98
2.8636306527087323e-11,-2.97
2.8844585770035662e-11,-2.97
2.905651786748781e-11,-2.96
2.920753317611071e-11,-2.96
2.92509471244876e-11,-2.96
2.917201939626987e-11,-2.95
2.8991998543126194e-11,-2.95
2.876001626583544e-11,-2.95
2.85372622541053e-11,-2.94
2.8379175429239202e-11,-2.94
2.8319855209452974e-11,-2.93
2.8363758321509744e-11,-2.93
2.8487065594721527e-11,-2.93
2.8646295175802308e-11,-2.92
2.8791242286098336e-11,-2.92
2.8879992759494998e-11,-2.91
2.8890990500137234e-11,-2.91
2.8827224646671497e-11,-2.91
2.87119563184729e-11,-2.9
2.857924494296341e-11,-2.9
2.8463593374023034e-11,-2.89
2.83913780050075e-11,-2.89
2.8374207283364917e-11,-2.89
2.8406993847305446e-11,-2.88
2.8472368927375307e-11,-2.88
2.8547762093602205e-11,-2.88
2.8612266825092028e-11,-2.87
2.8650261294799585e-11,-2.87
2.8653474653692922e-11,-2.86
2.862368300724307e-11,-2.86
2.857313079913221e-11,-2.86
2.8520384061895273e-11,-2.85
2.8483539315611456e-11,-2.85
2.8475350240213588e-11,-2.84
2.8500660112820878e-11,-2.84
2.8555041756468315e-11,-2.84
2.86255944678425e-11,-2.83
2.869556722753471e-11,-2.83
2.875079391903982e-11,-2.82
2.8783979502165636e-11,-2.82
2.8796073980086533e-11,-2.82
2.8795241739475705e-11,-2.81
2.879475299276631e-11,-2.81
2.881007430417997e-11,-2.8
2.8853674223526394e-11,-2.8
2.8929899619696334e-11,-2.8
2.9033520358005674e-11,-2.79
2.915089444750702e-11,-2.79
2.9263344099510366e-11,-2.79
2.9354145095274924e-11,-2.78
2.941457367622897e-11,-2.78
2.94468182174557e-11,-2.77
2.9464128580773285e-11,-2.77
2.94862660045073e-11,-2.77
2.953269195412358e-11,-2.76
2.9616640328560103e-11,-2.76
2.9741931916437584e-11,-2.75
2.9900121164166375e-11,-2.75
3.007070656407333e-11,-2.75
3.0229261239434015e-11,-2.74
3.035616634779581e-11,-2.74
3.044078123027117e-11,-2.73
3.0484784785892774e-11,-2.73
3.050392859721566e-11,-2.73
3.05244347290093e-11,-2.72
3.057470320317766e-11,-2.72
3.0676171394936677e-11,-2.71
3.0836424735451986e-11,-2.71
3.104563353703137e-11,-2.71
3.127979282612809e-11,-2.7
